,DIV_NAME,SCH_NAME,GENDER,FEDERAL_RACE_CODE,DISABILITY_FLAG,DISADVANTAGED_FLAG,LEP_FLAG,COHORT_CNT,DIPLOMA_RATE,DROPOUT_RATE,DIPLOMA_CNT,DROPOUT_CNT
19905,Albemarle County,Albemarle High,,4.0,N,N,,16,100.0,0.0,16.0,0.0
19906,Albemarle County,Albemarle High,,4.0,N,N,N,16,100.0,0.0,16.0,0.0
19907,Albemarle County,Albemarle High,,4.0,N,Y,,12,75.0,16.67,9.0,2.0004000000000004
19908,Albemarle County,Albemarle High,,5.0,,,,319,95.61,2.82,304.9959,8.9958
19909,Albemarle County,Albemarle High,,5.0,,,N,318,95.91,2.52,304.99379999999996,8.0136
19910,Albemarle County,Albemarle High,,5.0,,N,,290,95.86,2.76,277.994,8.004
19911,Albemarle County,Albemarle High,,5.0,,N,N,289,96.19,2.42,277.9891,6.9938
19912,Albemarle County,Albemarle High,,5.0,,Y,,29,93.1,3.45,26.998999999999995,1.0005000000000002
19913,Albemarle County,Albemarle High,,5.0,,Y,N,29,93.1,3.45,26.998999999999995,1.0005000000000002
19914,Albemarle County,Albemarle High,,5.0,N,,,284,95.77,2.46,271.9868,6.9864
19915,Albemarle County,Albemarle High,,5.0,N,,N,283,96.11,2.12,271.9913,5.9996
19916,Albemarle County,Albemarle High,,5.0,N,N,,265,95.85,2.64,254.0025,6.996
19917,Albemarle County,Albemarle High,,5.0,N,N,N,264,96.21,2.27,253.99439999999998,5.9928
19918,Albemarle County,Albemarle High,,5.0,N,Y,,19,94.74,0.0,18.0006,0.0
19919,Albemarle County,Albemarle High,,5.0,N,Y,N,19,94.74,0.0,18.0006,0.0
19920,Albemarle County,Albemarle High,,5.0,Y,,,35,94.29,5.71,33.0015,1.9985
19921,Albemarle County,Albemarle High,,5.0,Y,,N,35,94.29,5.71,33.0015,1.9985
19922,Albemarle County,Albemarle High,,5.0,Y,N,,25,96.0,4.0,24.0,1.0
19923,Albemarle County,Albemarle High,,5.0,Y,N,N,25,96.0,4.0,24.0,1.0
19924,Albemarle County,Albemarle High,,5.0,Y,Y,,10,90.0,10.0,9.0,1.0
19925,Albemarle County,Albemarle High,,5.0,Y,Y,N,10,90.0,10.0,9.0,1.0
19926,Albemarle County,Albemarle High,,99.0,,,,17,94.12,0.0,16.0004,0.0
19927,Albemarle County,Albemarle High,,99.0,,,N,17,94.12,0.0,16.0004,0.0
19928,Albemarle County,Albemarle High,,99.0,,N,,12,91.67,0.0,11.000399999999999,0.0
19929,Albemarle County,Albemarle High,,99.0,,N,N,12,91.67,0.0,11.000399999999999,0.0
19930,Albemarle County,Albemarle High,,99.0,N,,,16,93.75,0.0,15.0,0.0
19931,Albemarle County,Albemarle High,,99.0,N,,N,16,93.75,0.0,15.0,0.0
19932,Albemarle County,Albemarle High,,99.0,N,N,,12,91.67,0.0,11.000399999999999,0.0
19933,Albemarle County,Albemarle High,,99.0,N,N,N,12,91.67,0.0,11.000399999999999,0.0
19934,Albemarle County,Albemarle High,F,,,,,217,94.47,3.23,204.99989999999997,7.0091
19935,Albemarle County,Albemarle High,F,,,,N,212,95.28,2.36,201.99360000000001,5.0032
19936,Albemarle County,Albemarle High,F,,,N,,183,95.63,2.19,175.0029,4.0077
19937,Albemarle County,Albemarle High,F,,,N,N,180,96.11,1.67,172.998,3.006
19938,Albemarle County,Albemarle High,F,,,Y,,34,88.24,8.82,30.0016,2.9988
19939,Albemarle County,Albemarle High,F,,,Y,N,32,90.63,6.25,29.0016,2.0
19940,Albemarle County,Albemarle High,F,,N,,,203,94.09,3.45,191.0027,7.0035
19941,Albemarle County,Albemarle High,F,,N,,N,198,94.95,2.53,188.00100000000003,5.009399999999999
19942,Albemarle County,Albemarle High,F,,N,N,,173,95.38,2.31,165.0074,3.9962999999999997
19943,Albemarle County,Albemarle High,F,,N,N,N,170,95.88,1.76,162.99599999999998,2.992
19944,Albemarle County,Albemarle High,F,,N,Y,,30,86.67,10.0,26.000999999999998,3.0
19945,Albemarle County,Albemarle High,F,,N,Y,N,28,89.29,7.14,25.001200000000004,1.9991999999999999
19946,Albemarle County,Albemarle High,F,,Y,,,14,100.0,0.0,14.0,0.0
19947,Albemarle County,Albemarle High,F,,Y,,N,14,100.0,0.0,14.0,0.0
19948,Albemarle County,Albemarle High,F,,Y,N,,10,100.0,0.0,10.0,0.0
19949,Albemarle County,Albemarle High,F,,Y,N,N,10,100.0,0.0,10.0,0.0
19950,Albemarle County,Albemarle High,F,2.0,,,,11,100.0,0.0,11.0,0.0
19951,Albemarle County,Albemarle High,F,2.0,,N,,10,100.0,0.0,10.0,0.0
19952,Albemarle County,Albemarle High,F,2.0,N,,,11,100.0,0.0,11.0,0.0
19953,Albemarle County,Albemarle High,F,2.0,N,N,,10,100.0,0.0,10.0,0.0
19954,Albemarle County,Albemarle High,F,3.0,,,,21,85.71,9.52,17.9991,1.9991999999999999
19955,Albemarle County,Albemarle High,F,3.0,,,N,21,85.71,9.52,17.9991,1.9991999999999999
19956,Albemarle County,Albemarle High,F,3.0,,N,,10,100.0,0.0,10.0,0.0
19957,Albemarle County,Albemarle High,F,3.0,,N,N,10,100.0,0.0,10.0,0.0
19958,Albemarle County,Albemarle High,F,3.0,,Y,,11,72.73,18.18,8.000300000000001,1.9997999999999998
19959,Albemarle County,Albemarle High,F,3.0,,Y,N,11,72.73,18.18,8.000300000000001,1.9997999999999998
19960,Albemarle County,Albemarle High,F,3.0,N,,,21,85.71,9.52,17.9991,1.9991999999999999
19961,Albemarle County,Albemarle High,F,3.0,N,,N,21,85.71,9.52,17.9991,1.9991999999999999
19962,Albemarle County,Albemarle High,F,3.0,N,N,,10,100.0,0.0,10.0,0.0
19963,Albemarle County,Albemarle High,F,3.0,N,N,N,10,100.0,0.0,10.0,0.0
19964,Albemarle County,Albemarle High,F,3.0,N,Y,,11,72.73,18.18,8.000300000000001,1.9997999999999998
19965,Albemarle County,Albemarle High,F,3.0,N,Y,N,11,72.73,18.18,8.000300000000001,1.9997999999999998
19966,Albemarle County,Albemarle High,F,4.0,,,,15,93.33,6.67,13.999500000000001,1.0005
19967,Albemarle County,Albemarle High,F,4.0,,,N,13,100.0,0.0,13.0,0.0
19968,Albemarle County,Albemarle High,F,4.0,,N,,10,100.0,0.0,10.0,0.0
19969,Albemarle County,Albemarle High,F,4.0,,N,N,10,100.0,0.0,10.0,0.0
19970,Albemarle County,Albemarle High,F,4.0,N,,,12,91.67,8.33,11.000399999999999,0.9996
19971,Albemarle County,Albemarle High,F,4.0,N,,N,10,100.0,0.0,10.0,0.0
19972,Albemarle County,Albemarle High,F,5.0,,,,156,95.51,2.56,148.99560000000002,3.9936000000000003
19973,Albemarle County,Albemarle High,F,5.0,,,N,155,96.13,1.94,149.0015,3.0069999999999997
19974,Albemarle County,Albemarle High,F,5.0,,N,,144,95.14,2.78,137.0016,4.0032
19975,Albemarle County,Albemarle High,F,5.0,,N,N,143,95.8,2.1,136.994,3.003
19976,Albemarle County,Albemarle High,F,5.0,,Y,,12,100.0,0.0,12.0,0.0
19977,Albemarle County,Albemarle High,F,5.0,,Y,N,12,100.0,0.0,12.0,0.0
19978,Albemarle County,Albemarle High,F,5.0,N,,,145,95.17,2.76,137.9965,4.002
19979,Albemarle County,Albemarle High,F,5.0,N,,N,144,95.83,2.08,137.9952,2.9951999999999996
19980,Albemarle County,Albemarle High,F,5.0,N,N,,136,94.85,2.94,128.99599999999998,3.9983999999999997
19981,Albemarle County,Albemarle High,F,5.0,N,N,N,135,95.56,2.22,129.006,2.9970000000000003
19982,Albemarle County,Albemarle High,F,5.0,Y,,,11,100.0,0.0,11.0,0.0
19983,Albemarle County,Albemarle High,F,5.0,Y,,N,11,100.0,0.0,11.0,0.0
19984,Albemarle County,Albemarle High,F,99.0,,,,13,92.31,0.0,12.0003,0.0
19985,Albemarle County,Albemarle High,F,99.0,,,N,13,92.31,0.0,12.0003,0.0
19986,Albemarle County,Albemarle High,F,99.0,N,,,13,92.31,0.0,12.0003,0.0
19987,Albemarle County,Albemarle High,F,99.0,N,,N,13,92.31,0.0,12.0003,0.0
19988,Albemarle County,Albemarle High,M,,,,,243,92.59,4.94,224.99370000000002,12.0042
19989,Albemarle County,Albemarle High,M,,,,N,231,93.07,4.76,214.99169999999998,10.9956
19990,Albemarle County,Albemarle High,M,,,,Y,12,83.33,8.33,9.999600000000001,0.9996
19991,Albemarle County,Albemarle High,M,,,N,,193,94.82,4.15,183.00259999999997,8.009500000000001
19992,Albemarle County,Albemarle High,M,,,N,N,190,94.74,4.21,180.00599999999997,7.999
19993,Albemarle County,Albemarle High,M,,,Y,,50,84.0,8.0,42.0,4.0
19994,Albemarle County,Albemarle High,M,,,Y,N,41,85.37,7.32,35.0017,3.0012
19995,Albemarle County,Albemarle High,M,,N,,,209,92.34,4.78,192.9906,9.990200000000002
19996,Albemarle County,Albemarle High,M,,N,,N,198,92.93,4.55,184.00140000000002,9.009
19997,Albemarle County,Albemarle High,M,,N,,Y,11,81.82,9.09,9.0002,0.9998999999999999
19998,Albemarle County,Albemarle High,M,,N,N,,174,94.83,4.02,165.00419999999997,6.994799999999999
19999,Albemarle County,Albemarle High,M,,N,N,N,171,94.74,4.09,162.00539999999998,6.9939
20000,Albemarle County,Albemarle High,M,,N,Y,,35,80.0,8.57,28.0,2.9995
20001,Albemarle County,Albemarle High,M,,N,Y,N,27,81.48,7.41,21.9996,2.0007
20002,Albemarle County,Albemarle High,M,,Y,,,34,94.12,5.88,32.0008,1.9991999999999999
20003,Albemarle County,Albemarle High,M,,Y,,N,33,93.94,6.06,31.0002,1.9997999999999998
20004,Albemarle County,Albemarle High,M,,Y,N,,19,94.74,5.26,18.0006,0.9994
20005,Albemarle County,Albemarle High,M,,Y,N,N,19,94.74,5.26,18.0006,0.9994
20006,Albemarle County,Albemarle High,M,,Y,Y,,15,93.33,6.67,13.999500000000001,1.0005
20007,Albemarle County,Albemarle High,M,,Y,Y,N,14,92.86,7.14,13.000399999999999,0.9995999999999999
20008,Albemarle County,Albemarle High,M,2.0,,,,15,93.33,0.0,13.999500000000001,0.0
20009,Albemarle County,Albemarle High,M,2.0,,,N,11,100.0,0.0,11.0,0.0
20010,Albemarle County,Albemarle High,M,2.0,,N,,14,100.0,0.0,14.0,0.0
20011,Albemarle County,Albemarle High,M,2.0,,N,N,11,100.0,0.0,11.0,0.0
20012,Albemarle County,Albemarle High,M,2.0,N,,,15,93.33,0.0,13.999500000000001,0.0
20013,Albemarle County,Albemarle High,M,2.0,N,,N,11,100.0,0.0,11.0,0.0
20014,Albemarle County,Albemarle High,M,2.0,N,N,,14,100.0,0.0,14.0,0.0
20015,Albemarle County,Albemarle High,M,2.0,N,N,N,11,100.0,0.0,11.0,0.0
20016,Albemarle County,Albemarle High,M,3.0,,,,42,80.95,14.29,33.999,6.001799999999999
20017,Albemarle County,Albemarle High,M,3.0,,,N,40,80.0,15.0,32.0,6.0
20018,Albemarle County,Albemarle High,M,3.0,,N,,20,75.0,20.0,15.0,4.0
20019,Albemarle County,Albemarle High,M,3.0,,N,N,20,75.0,20.0,15.0,4.0
20020,Albemarle County,Albemarle High,M,3.0,,Y,,22,86.36,9.09,18.999200000000002,1.9997999999999998
20021,Albemarle County,Albemarle High,M,3.0,,Y,N,20,85.0,10.0,17.0,2.0
20022,Albemarle County,Albemarle High,M,3.0,N,,,35,77.14,17.14,26.999000000000002,5.999
20023,Albemarle County,Albemarle High,M,3.0,N,,N,33,75.76,18.18,25.000800000000005,5.9994
20024,Albemarle County,Albemarle High,M,3.0,N,N,,19,73.68,21.05,13.9992,3.9995
20025,Albemarle County,Albemarle High,M,3.0,N,N,N,19,73.68,21.05,13.9992,3.9995
20026,Albemarle County,Albemarle High,M,3.0,N,Y,,16,81.25,12.5,13.0,2.0
20027,Albemarle County,Albemarle High,M,3.0,N,Y,N,14,78.57,14.29,10.9998,2.0006
20028,Albemarle County,Albemarle High,M,4.0,,,,18,88.89,5.56,16.0002,1.0008
20029,Albemarle County,Albemarle High,M,4.0,,,N,12,91.67,0.0,11.000399999999999,0.0
20030,Albemarle County,Albemarle High,M,4.0,N,,,16,87.5,6.25,14.0,1.0
20031,Albemarle County,Albemarle High,M,4.0,N,,N,11,90.91,0.0,10.0001,0.0
20032,Albemarle County,Albemarle High,M,5.0,,,,163,95.71,3.07,156.0073,5.004099999999999
20033,Albemarle County,Albemarle High,M,5.0,,,N,163,95.71,3.07,156.0073,5.004099999999999
20034,Albemarle County,Albemarle High,M,5.0,,N,,146,96.58,2.74,141.0068,4.0004
20035,Albemarle County,Albemarle High,M,5.0,,N,N,146,96.58,2.74,141.0068,4.0004
20036,Albemarle County,Albemarle High,M,5.0,,Y,,17,88.24,5.88,15.0008,0.9995999999999999
20037,Albemarle County,Albemarle High,M,5.0,,Y,N,17,88.24,5.88,15.0008,0.9995999999999999
20038,Albemarle County,Albemarle High,M,5.0,N,,,139,96.4,2.16,133.996,3.0024
20039,Albemarle County,Albemarle High,M,5.0,N,,N,139,96.4,2.16,133.996,3.0024
20040,Albemarle County,Albemarle High,M,5.0,N,N,,129,96.9,2.33,125.001,3.0057
20041,Albemarle County,Albemarle High,M,5.0,N,N,N,129,96.9,2.33,125.001,3.0057
20042,Albemarle County,Albemarle High,M,5.0,N,Y,,10,90.0,0.0,9.0,0.0
20043,Albemarle County,Albemarle High,M,5.0,N,Y,N,10,90.0,0.0,9.0,0.0
20044,Albemarle County,Albemarle High,M,5.0,Y,,,24,91.67,8.33,22.000799999999998,1.9992
20045,Albemarle County,Albemarle High,M,5.0,Y,,N,24,91.67,8.33,22.000799999999998,1.9992
20046,Albemarle County,Albemarle High,M,5.0,Y,N,,17,94.12,5.88,16.0004,0.9995999999999999
20047,Albemarle County,Albemarle High,M,5.0,Y,N,N,17,94.12,5.88,16.0004,0.9995999999999999
20048,Albemarle County,Monticello High,,,,,,302,92.38,3.97,278.9876,11.9894
20049,Albemarle County,Monticello High,,,,,N,285,92.98,3.16,264.99300000000005,9.006
20050,Albemarle County,Monticello High,,,,,Y,17,82.35,17.65,13.999499999999998,3.0004999999999997
20051,Albemarle County,Monticello High,,,,N,,205,94.15,3.9,193.0075,7.995
20052,Albemarle County,Monticello High,,,,N,N,202,94.55,3.47,190.99099999999999,7.0094
